VTX, IDX, POSITION.x, POSITION.y, POSITION.z
530, 530,  0.95968,  0.19876, -0.19876
531, 531,  0.95968,  0.19876, -0.19876
532, 532,  0.95069,  0.29347, -0.10032
533, 533,  0.93052,  0.30349, -0.20502
534, 534,  0.95069,  0.29347, -0.10032
535, 535,  0.92388,  0.38268,  0.00
536, 536,  0.89032,  0.40462, -0.20885
537, 537,  0.93052,  0.30349, -0.20502
538, 538,  0.95069,  0.29347, -0.10032
539, 539,  0.89032,  0.40462, -0.20885
540, 540,  0.78868,  0.21132, -0.57735
541, 541,  0.77317,  0.15929, -0.61387
542, 542,  0.80296,  0.15904, -0.57443
543, 543,  0.77317,  0.15929, -0.61387
544, 544,  0.75434,  0.10657, -0.64777
545, 545,  0.81487,  0.10629, -0.56982
546, 546,  0.80296,  0.15904, -0.57443
547, 547,  0.77317,  0.15929, -0.61387
548, 548,  0.81487,  0.10629, -0.56982
549, 549,  0.75434,  0.10657, -0.64777
550, 550,  0.73229,  0.0534, -0.67889
551, 551,  0.79548,  0.05346, -0.60362
552, 552,  0.79548,  0.05346, -0.60362
553, 553,  0.73229,  0.0534, -0.67889
554, 554,  0.70711,  0.00, -0.70711
555, 555,  0.79548,  0.05346, -0.60362
556, 556,  0.70711,  0.00, -0.70711
557, 557,  0.83147,  0.00, -0.55557
558, 558,  0.83147,  0.00, -0.55557
559, 559,  0.82438,  0.05322, -0.56352
560, 560,  0.79548,  0.05346, -0.60362
561, 561,  0.79548,  0.05346, -0.60362
562, 562,  0.82438,  0.05322, -0.56352
563, 563,  0.81487,  0.10629, -0.56982
564, 564,  0.79548,  0.05346, -0.60362
565, 565,  0.81487,  0.10629, -0.56982
566, 566,  0.75434,  0.10657, -0.64777
567, 567,  0.89032,  0.20885, -0.40462
568, 568,  0.88135,  0.15744, -0.44546
569, 569,  0.90258,  0.15716, -0.40082
570, 570,  0.88135,  0.15744, -0.44546
571, 571,  0.86851,  0.10535, -0.48434
572, 572,  0.91227,  0.10502, -0.39589
573, 573,  0.90258,  0.15716, -0.40082
574, 574,  0.88135,  0.15744, -0.44546
575, 575,  0.91227,  0.10502, -0.39589
576, 576,  0.86851,  0.10535, -0.48434
577, 577,  0.85186,  0.05279, -0.5211
578, 578,  0.89895,  0.05284, -0.43485
579, 579,  0.89895,  0.05284, -0.43485
580, 580,  0.85186,  0.05279, -0.5211
581, 581,  0.83147,  0.00, -0.55557
582, 582,  0.89895,  0.05284, -0.43485
583, 583,  0.83147,  0.00, -0.55557
584, 584,  0.92388,  0.00, -0.38268
585, 585,  0.92388,  0.00, -0.38268
586, 586,  0.91938,  0.05258, -0.38984
587, 587,  0.89895,  0.05284, -0.43485
588, 588,  0.89895,  0.05284, -0.43485
589, 589,  0.91938,  0.05258, -0.38984
590, 590,  0.91227,  0.10502, -0.39589
591, 591,  0.89895,  0.05284, -0.43485
592, 592,  0.91227,  0.10502, -0.39589
593, 593,  0.86851,  0.10535, -0.48434
594, 594,  0.83147,  0.00, -0.55557
595, 595,  0.85186,  0.05279, -0.5211
596, 596,  0.82438,  0.05322, -0.56352
597, 597,  0.85186,  0.05279, -0.5211
598, 598,  0.86851,  0.10535, -0.48434
599, 599,  0.81487,  0.10629, -0.56982
600, 600,  0.82438,  0.05322, -0.56352
601, 601,  0.85186,  0.05279, -0.5211
602, 602,  0.81487,  0.10629, -0.56982
603, 603,  0.86851,  0.10535, -0.48434
604, 604,  0.88135,  0.15744, -0.44546
605, 605,  0.83133,  0.15886, -0.5326
606, 606,  0.83133,  0.15886, -0.5326
607, 607,  0.88135,  0.15744, -0.44546
608, 608,  0.89032,  0.20885, -0.40462
