VTX, IDX, _15.x, _15.y, _15.z, _18.x, _18.y, _18.z, _22.x, _22.y, _22.z, _22.w, _21.x, _21.y
2024, 419, -0.13053,  0.15135, -0.15784,  0.38738,  0.14188,  0.91094,  0.5371, -0.83782, -0.09791, -1.00,  0.8042,  0.68066
2025, 416, -0.11463,  0.16287, -0.16145,  0.55492,  0.29015,  0.77966,  0.56468, -0.8196, -0.0969, -1.00,  0.80371,  0.66113
2026, 415, -0.14721,  0.21231, -0.16286, -0.07781,  0.67931,  0.72971,  0.57652, -0.56648,  0.58883, -1.00,  0.75098,  0.66113
2027, 422, -0.16349,  0.20075, -0.1589, -0.19322,  0.54039,  0.81893,  0.56885, -0.61836,  0.54225, -1.00,  0.75049,  0.68066
2028, 416, -0.11463,  0.16287, -0.16145,  0.55492,  0.29015,  0.77966,  0.56468, -0.8196, -0.0969, -1.00,  0.80371,  0.66113
2029, 422, -0.16349,  0.20075, -0.1589, -0.19322,  0.54039,  0.81893,  0.56885, -0.61836,  0.54225, -1.00,  0.75049,  0.68066
2030, 419, -0.13053,  0.15135, -0.15784,  0.38738,  0.14188,  0.91094,  0.5371, -0.83782, -0.09791, -1.00,  0.8042,  0.68066
2031, 415, -0.14721,  0.21231, -0.16286, -0.07781,  0.67931,  0.72971,  0.57652, -0.56648,  0.58883, -1.00,  0.75098,  0.66113
2032, 413, -0.1701,  0.22101, -0.22217,  0.86195, -0.12147, -0.49223,  0.48899, -0.05723,  0.87041, -1.00,  0.68994,  0.6543
2033, 423, -0.17453,  0.2261, -0.22189, -0.55924,  0.80605,  0.19375,  0.32719, -0.00013,  0.94496, -1.00,  0.68994,  0.66113
2034, 423, -0.17453,  0.2261, -0.22189, -0.55924,  0.80605,  0.19375,  0.32719, -0.00013,  0.94496, -1.00,  0.68994,  0.66113
2035, 413, -0.1701,  0.22101, -0.22217,  0.86195, -0.12147, -0.49223,  0.48899, -0.05723,  0.87041, -1.00,  0.68994,  0.6543
2036, 417, -0.17702,  0.21036, -0.26224,  0.98707,  0.13752,  0.08229, -0.14934,  0.60308,  0.78358, -1.00,  0.6499,  0.6543
2037, 417, -0.17702,  0.21036, -0.26224,  0.98707,  0.13752,  0.08229, -0.14934,  0.60308,  0.78358, -1.00,  0.6499,  0.6543
2038, 418, -0.17509,  0.17422, -0.27312,  0.45522,  0.27114,  0.84809, -0.58518,  0.809,  0.05546, -1.00,  0.6123,  0.63818
2039, 424, -0.16298,  0.18262, -0.2787,  0.63874,  0.57634,  0.50975, -0.67697,  0.73583,  0.01634, -1.00,  0.6123,  0.6543
2040, 424, -0.16298,  0.18262, -0.2787,  0.63874,  0.57634,  0.50975, -0.67697,  0.73583,  0.01634, -1.00,  0.6123,  0.6543
2041, 418, -0.17509,  0.17422, -0.27312,  0.45522,  0.27114,  0.84809, -0.58518,  0.809,  0.05546, -1.00,  0.6123,  0.63818
2042, 425, -0.13985,  0.12594, -0.26361, -0.03064,  0.61268,  0.78974, -0.59333,  0.62469, -0.50766, -1.00,  0.55029,  0.63818
