VTX, IDX, Vertex_Position.x, Vertex_Position.y, Vertex_Position.z, Vertex_UV.x, Vertex_UV.y
835, 197,  437.01599,  1414.2135,  1344.99719,  0.61035,  0.24231
836, 194,  951.05652,  1175.57043,  1309.01709,  0.74072,  0.2981
837, 199, -0.00004,  1618.03406,  1175.57056,  0.50,  0.1814
838, 183,  363.27124,  1618.03406,  1118.03418,  0.5918,  0.17761
839, 197,  437.01599,  1414.2135,  1344.99719,  0.61035,  0.24231
840, 199, -0.00004,  1618.03406,  1175.57056,  0.50,  0.1814
841, 186, -0.00003,  1782.01306,  907.98114,  0.50,  0.12378
842, 183,  363.27124,  1618.03406,  1118.03418,  0.5918,  0.17761
843, 200, -0.00004,  1414.2135,  1414.21362,  0.50,  0.24683
844, 197,  437.01599,  1414.2135,  1344.99719,  0.61035,  0.24231
845, 198,  499.99997,  1175.57043,  1538.84192,  0.62646,  0.31323
846, 200, -0.00004,  1414.2135,  1414.21362,  0.50,  0.24683
847, 199, -0.00004,  1618.03406,  1175.57056,  0.50,  0.1814
848, 197,  437.01599,  1414.2135,  1344.99719,  0.61035,  0.24231
849, 201, -280.58163,  1782.01306,  863.54144,  0.42896,  0.12085
850, 186, -0.00003,  1782.01306,  907.98114,  0.50,  0.12378
851, 199, -0.00004,  1618.03406,  1175.57056,  0.50,  0.1814
852, 201, -280.58163,  1782.01306,  863.54144,  0.42896,  0.12085
853, 187, -190.98306,  1902.11304,  587.78534,  0.45142,  0.07343
854, 186, -0.00003,  1782.01306,  907.98114,  0.50,  0.12378
855, 192, -363.27136,  1902.11304,  500.00012,  0.40796,  0.06769
856, 187, -190.98306,  1902.11304,  587.78534,  0.45142,  0.07343
857, 201, -280.58163,  1782.01306,  863.54144,  0.42896,  0.12085
858, 202, -363.27133,  1618.03406,  1118.03418,  0.40796,  0.17761
859, 201, -280.58163,  1782.01306,  863.54144,  0.42896,  0.12085
860, 199, -0.00004,  1618.03406,  1175.57056,  0.50,  0.1814
