VTX, IDX, _input0.x, _input0.y, _input0.z, _input1.x, _input1.y, _input1.z, _input2.x, _input2.y, _input3.x, _input3.y
8778, 1949,  2.65586,  2.60217,  1.61032, -0.09113,  0.74862,  0.26694,  0.4016,  0.6255,  0.4016,  0.6255
8779, 1947,  2.86375,  2.51397,  1.76183,  0.06018,  0.64061,  0.47538,  0.3882,  0.619,  0.3882,  0.619
8780, 1945,  2.95295,  2.53177,  1.68664,  0.35687,  0.54788,  0.46095,  0.3842,  0.6241,  0.3842,  0.6241
8781, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8782, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8783, 1851, -4.46592, -0.93139,  0.64746, -0.28422,  0.74733, -0.02689,  0.5982,  0.8925,  0.5982,  0.8925
8784, 1850, -4.37752, -0.92061,  1.29099, -0.24882,  0.6288,  0.42744,  0.5463,  0.8683,  0.5463,  0.8683
8785, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8786, 1853, -4.44446, -0.90684,  1.16518, -0.29099,  0.74474, -0.02624,  0.5584,  0.87,  0.5584,  0.87
8787, 1854, -4.50484, -0.98225,  1.06633, -0.58845,  0.50016,  0.20872,  0.5699,  0.8688,  0.5699,  0.8688
8788, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8789, 1852, -4.7992, -1.03106,  0.92013, -0.31134,  0.7369,  0.00672,  0.5941,  0.8543,  0.5941,  0.8543
8790, 1853, -4.44446, -0.90684,  1.16518, -0.29099,  0.74474, -0.02624,  0.5584,  0.87,  0.5584,  0.87
8791, 1848, -4.23756, -0.85808,  1.07341, -0.17978,  0.77722,  0.06012,  0.5556,  0.8891,  0.5556,  0.8891
8792, 1854, -4.50484, -0.98225,  1.06633, -0.58845,  0.50016,  0.20872,  0.5699,  0.8688,  0.5699,  0.8688
8793, 1850, -4.37752, -0.92061,  1.29099, -0.24882,  0.6288,  0.42744,  0.5463,  0.8683,  0.5463,  0.8683
8794, 1853, -4.44446, -0.90684,  1.16518, -0.29099,  0.74474, -0.02624,  0.5584,  0.87,  0.5584,  0.87
